_measurement,_field,_time,_value_IU.ANMO.08.BHZ,_value_IU.ANMO.25.BHZ
acceleration,z,2024-05-10 13:25:54.001000+00:00,259389,257855
acceleration,z,2024-05-10 13:25:54.005000+00:00,259178,257982
acceleration,z,2024-05-10 13:25:54.009000+00:00,259291,258115
acceleration,z,2024-05-10 13:25:54.013000+00:00,259337,258309
acceleration,z,2024-05-10 13:25:54.017000+00:00,259475,258428
acceleration,z,2024-05-10 13:25:54.021000+00:00,259823,258473
acceleration,z,2024-05-10 13:25:54.025000+00:00,259893,258473
acceleration,z,2024-05-10 13:25:54.029000+00:00,260112,258385
acceleration,z,2024-05-10 13:25:54.033000+00:00,259965,258358
acceleration,z,2024-05-10 13:25:54.037000+00:00,259976,258374
acceleration,z,2024-05-10 13:25:54.041000+00:00,259946,258492
acceleration,z,2024-05-10 13:25:54.045000+00:00,260054,258521
acceleration,z,2024-05-10 13:25:54.049000+00:00,260251,258417
acceleration,z,2024-05-10 13:25:54.053000+00:00,260179,258280
acceleration,z,2024-05-10 13:25:54.057000+00:00,259877,258131
acceleration,z,2024-05-10 13:25:54.061000+00:00,259660,258058
acceleration,z,2024-05-10 13:25:54.065000+00:00,259511,258027
acceleration,z,2024-05-10 13:25:54.069000+00:00,259538,258141
acceleration,z,2024-05-10 13:25:54.073000+00:00,259543,258190
acceleration,z,2024-05-10 13:25:54.077000+00:00,259656,258218
acceleration,z,2024-05-10 13:25:54.081000+00:00,259600,258218
acceleration,z,2024-05-10 13:25:54.085000+00:00,259611,258294
acceleration,z,2024-05-10 13:25:54.089000+00:00,259607,258220
acceleration,z,2024-05-10 13:25:54.093000+00:00,259668,258208
acceleration,z,2024-05-10 13:25:54.097000+00:00,259668,258166
acceleration,z,2024-05-10 13:25:54.101000+00:00,259640,258208
acceleration,z,2024-05-10 13:25:54.105000+00:00,259733,258186
acceleration,z,2024-05-10 13:25:54.109000+00:00,259743,258213
acceleration,z,2024-05-10 13:25:54.113000+00:00,259682,258152
acceleration,z,2024-05-10 13:25:54.117000+00:00,259604,258111
acceleration,z,2024-05-10 13:25:54.121000+00:00,259576,258272
acceleration,z,2024-05-10 13:25:54.125000+00:00,259677,258308
acceleration,z,2024-05-10 13:25:54.129000+00:00,259740,258358
acceleration,z,2024-05-10 13:25:54.133000+00:00,259846,258319
acceleration,z,2024-05-10 13:25:54.137000+00:00,259916,258368
acceleration,z,2024-05-10 13:25:54.141000+00:00,259841,258386
acceleration,z,2024-05-10 13:25:54.145000+00:00,259927,258417
acceleration,z,2024-05-10 13:25:54.149000+00:00,259914,258407
acceleration,z,2024-05-10 13:25:54.153000+00:00,259947,258423
acceleration,z,2024-05-10 13:25:54.157000+00:00,260044,258396
acceleration,z,2024-05-10 13:25:54.161000+00:00,259963,258312
acceleration,z,2024-05-10 13:25:54.165000+00:00,259991,258233
acceleration,z,2024-05-10 13:25:54.169000+00:00,259848,258231
acceleration,z,2024-05-10 13:25:54.173000+00:00,259791,258087
acceleration,z,2024-05-10 13:25:54.177000+00:00,259736,258122
acceleration,z,2024-05-10 13:25:54.181000+00:00,259561,258082
acceleration,z,2024-05-10 13:25:54.185000+00:00,259539,258133
acceleration,z,2024-05-10 13:25:54.189000+00:00,259439,258158
acceleration,z,2024-05-10 13:25:54.193000+00:00,259517,258166
acceleration,z,2024-05-10 13:25:54.197000+00:00,259513,258082
acceleration,z,2024-05-10 13:25:54.201000+00:00,259530,258096
acceleration,z,2024-05-10 13:25:54.205000+00:00,259561,258150
acceleration,z,2024-05-10 13:25:54.209000+00:00,259591,258164
acceleration,z,2024-05-10 13:25:54.213000+00:00,259581,258255
acceleration,z,2024-05-10 13:25:54.217000+00:00,259612,258378
acceleration,z,2024-05-10 13:25:54.221000+00:00,259753,258370
acceleration,z,2024-05-10 13:25:54.225000+00:00,259837,258396
acceleration,z,2024-05-10 13:25:54.229000+00:00,259892,258380
acceleration,z,2024-05-10 13:25:54.233000+00:00,259933,258440
acceleration,z,2024-05-10 13:25:54.237000+00:00,260050,258334
acceleration,z,2024-05-10 13:25:54.241000+00:00,259924,258311
acceleration,z,2024-05-10 13:25:54.245000+00:00,259927,258259
acceleration,z,2024-05-10 13:25:54.249000+00:00,259903,258307
acceleration,z,2024-05-10 13:25:54.253000+00:00,259865,258372
acceleration,z,2024-05-10 13:25:54.257000+00:00,259885,258273
acceleration,z,2024-05-10 13:25:54.261000+00:00,259839,258235
acceleration,z,2024-05-10 13:25:54.265000+00:00,259741,258146
acceleration,z,2024-05-10 13:25:54.269000+00:00,259659,258134
acceleration,z,2024-05-10 13:25:54.273000+00:00,259588,258065
acceleration,z,2024-05-10 13:25:54.277000+00:00,259591,258135
acceleration,z,2024-05-10 13:25:54.281000+00:00,259470,258137
acceleration,z,2024-05-10 13:25:54.285000+00:00,259552,258182
acceleration,z,2024-05-10 13:25:54.289000+00:00,259525,258161
acceleration,z,2024-05-10 13:25:54.293000+00:00,259564,258142
acceleration,z,2024-05-10 13:25:54.297000+00:00,259600,258257
acceleration,z,2024-05-10 13:25:54.301000+00:00,259527,258317
acceleration,z,2024-05-10 13:25:54.305000+00:00,259664,258334
acceleration,z,2024-05-10 13:25:54.309000+00:00,259741,258276
acceleration,z,2024-05-10 13:25:54.313000+00:00,259840,258331
acceleration,z,2024-05-10 13:25:54.317000+00:00,259802,258342
acceleration,z,2024-05-10 13:25:54.321000+00:00,259923,258436
acceleration,z,2024-05-10 13:25:54.325000+00:00,259890,258447
acceleration,z,2024-05-10 13:25:54.329000+00:00,259905,258395
acceleration,z,2024-05-10 13:25:54.333000+00:00,259997,258301
acceleration,z,2024-05-10 13:25:54.337000+00:00,259901,258290
